,type,properties_mag,properties_place,properties_time,properties_updated,properties_tz,properties_url,properties_detail,properties_felt,properties_cdi,properties_mmi,properties_alert,properties_status,properties_tsunami,properties_sig,properties_net,properties_code,properties_ids,properties_sources,properties_types,properties_nst,properties_dmin,properties_rms,properties_gap,properties_magType,properties_type,properties_title,geometry_type,geometry_long,geometry_lat,geometry_focaldepth,id,quake_api_type,quake_metadata_generated,quake_metadata_url,quake_metadata_title,quake_metadata_status,quake_metadata_api,quake_metadata_count,properties_time_new,properties_updated_new,quake_metadata_generated_new
19,Feature,1.26,"6 km W of Fuig, Puerto Rico",1672699487210,1672702415390,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71390573,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71390573&format=geojson,,,,,reviewed,0,24,pr,71390573,",pr71390573,",",pr,",",origin,phase-data,",5.0,0.06747,0.04,166.0,md,earthquake,"M 1.3 - 6 km W of Fuig, Puerto Rico",Point,-66.9745,17.9816666666667,12.31,pr71390573,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.699487210,1970-01-01 00:27:52.702415390,1970-01-01 00:27:52.847148
20,Feature,2.09,"3km ENE of Bishop, CA",1672699441890,1672703832601,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73828126,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73828126&format=geojson,,,,,automatic,0,67,nc,73828126,",nc73828126,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",6.0,0.07195,0.01,174.0,md,earthquake,"M 2.1 - 3km ENE of Bishop, CA",Point,-118.366333,37.3773346,5.46,nc73828126,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.699441890,1970-01-01 00:27:52.703832601,1970-01-01 00:27:52.847148
21,Feature,3.08,"2km ENE of Bishop, CA",1672699269140,1672761470486,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73828121,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73828121&format=geojson,11.0,2.2,,,automatic,0,148,nc,73828121,",nc73828121,us7000j1ps,",",nc,us,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",24.0,0.07399,0.04,118.0,ml,earthquake,"M 3.1 - 2km ENE of Bishop, CA",Point,-118.3690033,37.3726654,6.54,nc73828121,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.699269140,1970-01-01 00:27:52.761470486,1970-01-01 00:27:52.847148
22,Feature,1.90999997,"12 km E of P?hala, Hawaii",1672699202710,1672699397450,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73292427,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73292427&format=geojson,,,,,automatic,0,56,hv,73292427,",hv73292427,",",hv,",",origin,phase-data,",35.0,,0.159999996,172.0,md,earthquake,"M 1.9 - 12 km E of P?hala, Hawaii",Point,-155.357162475586,19.1828327178955,27.3899993896484,hv73292427,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.699202710,1970-01-01 00:27:52.699397450,1970-01-01 00:27:52.847148
23,Feature,1.8,"10km WNW of Huron, CA",1672699171540,1672702032540,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73828116,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73828116&format=geojson,,,,,automatic,0,50,nc,73828116,",nc73828116,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",5.0,0.1384,0.02,134.0,md,earthquake,"M 1.8 - 10km WNW of Huron, CA",Point,-120.2149963,36.2215004,19.43,nc73828116,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.699171540,1970-01-01 00:27:52.702032540,1970-01-01 00:27:52.847148
24,Feature,0.5,"2 km S of South Van Horn, Alaska",1672698822184,1672698972970,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0233ode6j,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0233ode6j&format=geojson,,,,,automatic,0,4,ak,0233ode6j,",ak0233ode6j,",",ak,",",origin,phase-data,",,,0.34,,ml,earthquake,"M 0.5 - 2 km S of South Van Horn, Alaska",Point,-147.7912,64.7854,16.2,ak0233ode6j,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.698822184,1970-01-01 00:27:52.698972970,1970-01-01 00:27:52.847148
25,Feature,2.5,"46 km NNE of Aleneva, Alaska",1672698772312,1672698930279,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0233od78v,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0233od78v&format=geojson,,,,,automatic,0,96,ak,0233od78v,",ak0233od78v,",",ak,",",origin,phase-data,",,,0.57,,ml,earthquake,"M 2.5 - 46 km NNE of Aleneva, Alaska",Point,-152.7079,58.4658,23.5,ak0233od78v,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.698772312,1970-01-01 00:27:52.698930279,1970-01-01 00:27:52.847148
26,Feature,1.02,"5km N of Beaumont, CA",1672697835790,1672698053488,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40153111,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40153111&format=geojson,,,,,automatic,0,16,ci,40153111,",ci40153111,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",16.0,0.1243,0.2,63.0,ml,earthquake,"M 1.0 - 5km N of Beaumont, CA",Point,-116.972,33.9726667,12.46,ci40153111,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.697835790,1970-01-01 00:27:52.698053488,1970-01-01 00:27:52.847148
27,Feature,4.5,"near the east coast of the Kamchatka Peninsula, Russia",1672697656872,1672698767040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000j1pl,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000j1pl&format=geojson,,,,,reviewed,0,312,us,7000j1pl,",us7000j1pl,",",us,",",origin,phase-data,",33.0,3.213,0.45,132.0,mb,earthquake,"M 4.5 - near the east coast of the Kamchatka Peninsula, Russia",Point,161.906,55.6045,54.592,us7000j1pl,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.697656872,1970-01-01 00:27:52.698767040,1970-01-01 00:27:52.847148
28,Feature,1.49,"21 km WSW of False Pass, Alaska",1672697400000,1672812078450,,https://earthquake.usgs.gov/earthquakes/eventpage/av91741906,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91741906&format=geojson,,,,,reviewed,0,34,av,91741906,",av91741906,",",av,",",origin,phase-data,",5.0,,0.09,123.0,ml,earthquake,"M 1.5 - 21 km WSW of False Pass, Alaska",Point,-163.709666666667,54.763,0.31,av91741906,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.697400000,1970-01-01 00:27:52.812078450,1970-01-01 00:27:52.847148
29,Feature,5.2,"63 km ENE of Barcelona, Philippines",1672697377535,1672698480040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000j1pj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000j1pj&format=geojson,,,,,reviewed,0,416,us,7000j1pj,",us7000j1pj,",",us,",",origin,phase-data,",80.0,1.907,0.75,82.0,mb,earthquake,"M 5.2 - 63 km ENE of Barcelona, Philippines",Point,126.9386,8.4288,35.0,us7000j1pj,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.697377535,1970-01-01 00:27:52.698480040,1970-01-01 00:27:52.847148
30,Feature,1.83,"21 km WSW of False Pass, Alaska",1672696926450,1672812283730,,https://earthquake.usgs.gov/earthquakes/eventpage/av91741901,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91741901&format=geojson,,,,,reviewed,0,52,av,91741901,",av91741901,",",av,",",origin,phase-data,",7.0,,0.12,131.0,ml,earthquake,"M 1.8 - 21 km WSW of False Pass, Alaska",Point,-163.700166666667,54.7628333333333,0.37,av91741901,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.696926450,1970-01-01 00:27:52.812283730,1970-01-01 00:27:52.847148
31,Feature,3.21,"77 km N of Tierras Nuevas Poniente, Puerto Rico",1672696866100,1672698796990,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71390553,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71390553&format=geojson,,,,,reviewed,0,159,pr,71390553,",pr71390553,",",pr,",",origin,phase-data,",20.0,0.8376,0.22,268.0,md,earthquake,"M 3.2 - 77 km N of Tierras Nuevas Poniente, Puerto Rico",Point,-66.522,19.1591666666667,15.3,pr71390553,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.696866100,1970-01-01 00:27:52.698796990,1970-01-01 00:27:52.847148
32,Feature,2.3,"11 km ENE of Tazlina, Alaska",1672696716168,1672696831016,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0233nxb0g,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0233nxb0g&format=geojson,,,,,automatic,0,81,ak,0233nxb0g,",ak0233nxb0g,",",ak,",",origin,phase-data,",,,0.52,,ml,earthquake,"M 2.3 - 11 km ENE of Tazlina, Alaska",Point,-145.2271,62.1097,17.6,ak0233nxb0g,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.696716168,1970-01-01 00:27:52.696831016,1970-01-01 00:27:52.847148
33,Feature,0.92,"93 km W of Adak, Alaska",1672696565950,1672815852970,,https://earthquake.usgs.gov/earthquakes/eventpage/av91082723,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91082723&format=geojson,,,,,reviewed,0,13,av,91082723,",av91082723,",",av,",",origin,phase-data,",5.0,,0.07,106.0,ml,earthquake,"M 0.9 - 93 km W of Adak, Alaska",Point,-177.988333333333,51.8513333333333,4.5,av91082723,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.696565950,1970-01-01 00:27:52.815852970,1970-01-01 00:27:52.847148
34,Feature,2.4,"47 km SSW of Nanwalek, Alaska",1672696476668,1672697133040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0233nwg6q,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0233nwg6q&format=geojson,,,,,automatic,0,89,ak,0233nwg6q,",us7000j1pc,ak0233nwg6q,",",us,ak,",",origin,phase-data,",,,0.27,,ml,earthquake,"M 2.4 - 47 km SSW of Nanwalek, Alaska",Point,-152.2208,58.9609,75.0,ak0233nwg6q,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.696476668,1970-01-01 00:27:52.697133040,1970-01-01 00:27:52.847148
